cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,1024,1280,4096,ck,17,0,21.4933,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,499.57,561.04,0.0
256,2048,1280,4096,ck,14,0,30.3452,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,707.68,621.99,0.0001
256,4096,1280,4096,ck,13,0,43.6628,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,983.67,744.47,0.0
256,8192,1280,4096,cktile,26,0,60.8285,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,1412.16,982.58,0.0
256,16384,1280,4096,cktile,11,0,129.3201,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1328.48,883.81,0.0
256,32768,1280,4096,cktile,11,0,245.7508,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1398.15,908.83,0.0
256,1,2304,4096,ck,7,0,12.8681,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.47,734.05,0.0
256,2,2304,4096,ck,7,0,12.9331,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.92,731.04,0.0
256,4,2304,4096,ck,7,0,12.8197,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.89,738.86,0.0
256,8,2304,4096,ck,7,0,12.8411,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.76,740.34,0.0
256,16,2304,4096,ck,7,0,11.8579,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,25.47,807.6,0.0
256,32,2304,4096,ck,7,0,11.9991,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,50.34,809.7,0.0
256,64,2304,4096,ck,7,0,12.0375,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,100.35,830.26,0.0
256,128,2304,4096,ck,12,0,12.7292,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,189.79,828.9,0.0
256,256,2304,4096,ck,17,0,14.8289,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,325.84,786.67,0.0
256,512,2304,4096,ck,17,0,21.0801,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,458.43,659.09,0.0
256,1024,2304,4096,ck,2,0,29.486,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,655.48,622.33,0.0
256,2048,2304,4096,ck,14,0,43.9597,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,879.32,620.18,0.0001
256,4096,2304,4096,cktile,28,0,59.1769,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,1306.41,761.93,0.0
